name,wikidata_qid,founded_year,status
University of Bandundu,Q3551565,2004,done
University of Bangui,Q1638914,1969,done
University of Batna 1,NA,NA,done
University of Bechar,Q7895149,1986,done
University of Benghazi,Q3134657,1955,done
University of Benin,Q1816069,1970,done
University of Biskra,Q12204532,1998,done
University of Blida,Q787656,1977,done
University of Botswana,Q493141,1982,done
University of Bouira,Q3551448,2005,done
University of Boumerdes,Q27961625,1998,done
University of Buea,Q652308,1992,done
University of Béjaïa,Q1117434,1983,done
University of Calabar,Q3509289,1975,done
University of Cape Coast,Q746079,1962,done
University of Cape Town,Q951305,1829,done
University of Cape Verde,Q1707609,2006,done
University of Carthage,Q852223,1988,done
University of Constantine 3,Q55721694,2011,done
University of Cross River State,Q13140622,2002,done
University of Dar es Salaam,Q557597,1970,done
University of Derna,Q125496368,1994,done
University of Djibouti,Q3551582,2006,done
University of Dongola,Q7895343,1991,done
University of Douala,Q916350,1993,done
"University of Eastern Africa, Baraton",Q662087,1980,done
University of Education and Entrepreneurship,Q137943949,2024,done
"University of Education, Winneba",Q1557172,1992,done
University of El Imam El Mahdi,Q5351420,1994,done
University of Eldoret,Q7895375,2013,done
University of Eloued,NA,NA,done
University of Embu,Q24236250,2011,done
University of Energy and Natural Resources,Q7894844,2012,done
University of Eswatini,Q1570483,1964,done
University of Fort Hare,Q2005511,1916,done
University of Gabès,Q649578,2003,done
University of Gafsa,Q3551586,2004,done
University of Garden City,Q16839639,2015,done
University of Gedo,Q7895443,2008,done
University of Gezira,Q7896681,1975,done
University of Ghana,Q2303765,1948,done
University of Ghardaia,Q12204512,2004,done
University of Gharyan,Q12204414,1991,done
University of Global Health Equity,Q28035081,2015,done
University of Goma,Q3551591,1993,done
University of Gondar,Q2690553,1954,done
University of Guelma,Q7896816,1986,done
University of Hargeisa,Q3357563,2000,done
University of Hassan II Casablanca,Q82826,1975,done
University of Health Sciences,Q19612850,2015,done
University of Health and Allied Sciences,Q16734216,2012,done
University of Ibadan,Q1169487,1948,done
University of Ilesa,Q121207292,2022,done
University of Ilorin,Q7895546,1975,done
University of Jendouba,Q3551596,2003,done
University of Jijel,Q3551600,2003,done
University of Johannesburg,Q1972050,2005,done
University of Jos,Q1412551,1975,done
University of Juba,Q1231063,1977,done
University of Kabianga,Q15036648,2013,done
University of Kairouan,Q3551602,2004,done
University of Kalemie,Q3551601,2004,done
University of Kamina,Q3551603,1955,done
University of Kara,Q1661751,1951,done
University of Khartoum,Q656871,1902,done
University of Kigali,Q48773691,2013,done
University of Kikwit,Q3551607,1992,done
University of Kindu,Q3551608,2004,done
University of Kinshasa,Q774520,1954,done
University of Kisubi,Q24958519,2004,done
University of Kivu,Q30265872,2008,done
University of Kolwezi,Q3551611,2004,done
University of Kordofan,Q7895609,1990,done
University of Koudougou,Q3551610,2005,done
University of KwaZulu-Natal,Q727516,2004,done
University of Laghouat,Q7895618,1986,done
University of Lagos,Q1782980,1962,done
University of Lay Adventists of Kigali,Q28448235,1997,done
University of Liberia,Q3044628,1862,done
University of Limpopo,Q45612,2005,done
University of Livingstonia,Q30294288,2003,done
University of Lomé,Q3551618,1965,done
University of Lubumbashi,Q1588869,1955,done
University of Lusaka,Q7895649,1999,done
University of Maiduguri,Q3509668,1975,done
University of Makeni,Q7895660,2005,done
University of Malawi,Q671642,1964,done
University of Management and Technology,Q7895663,1990,done
University of Maroua,Q3551626,2008,done
University of Mauritius,Q1097479,1965,done
University of Mbandaka,Q3551627,2004,done
University of Mbuji Mayi,Q3551625,2004,done
"University of Media, Arts and Communication",Q5555358,1959,done
University of Medical Sciences and Technology,Q7895723,1996,done
University of Military Science and Technology,Q7895784,2007,done
University of Mines and Technology,Q2495871,2001,done
University of Mkar,Q7895846,2005,done
University of Monastir,Q3551637,2004,done
University of Mpumalanga,Q14979352,NA,done
University of N'Djamena,Q1678185,1971,done
University of Nairobi,Q649998,1956,done
University of Namibia,Q220226,1992,done
University of Ngaoundéré,Q3551655,1982,done
University of Ngozi,Q3551654,1999,done
University of Nigeria,Q927304,1955,done
University of Nyala,Q7070817,1994,done
University of Ouargla,Q613937,1988,done
University of Port Harcourt,Q5103051,1975,done
University of Pretoria,Q604444,1908,done
University of Professional Studies,Q16734218,1965,done
University of Reunion Island,NA,NA,done
University of Rwanda,Q19888178,2013,done
University of Sadat City,Q12204536,2013,done
University of Science and Technology Omdurman,NA,NA,done
University of Science and Technology of Benin,Q3011789,1996,done
University of Science and Technology of Ivory Coast,Q3011661,2009,done
University of Science and Technology of Togo,Q3011796,2012,done
University of Sciences and Technology Houari Boumediene,NA,NA,done
University of Seychelles,Q7896291,2009,done
University of Sfax,Q540341,1986,done
University of Sierra Leone,Q15045868,1972,done
University of Skikda,Q7896309,2001,done
University of Somalia,Q3551671,2005,done
University of Sousse,Q3551673,1986,done
University of South Africa,Q677993,1873,done
University of Southern Somalia,Q3538324,2007,done
University of Tamanghasset,Q30294264,2004,done
University of Technology,Q1371037,NA,done
"University of Technology, Mauritius",Q1097363,2000,done
University of Timbuktu,Q7896465,NA,done
University of Toamasina,Q1443900,1988,done
University of Toliara,Q18380163,1971,done
University of Tripoli,Q2529518,1957,done
University of Tripoli Al-ahlia,Q12204504,1999,done
University of Uyo,Q7896523,1991,done
University of Venda,Q892543,1982,done
University of Zalingei,Q16121271,1994,done
University of Zambia,Q2096836,1965,done
University of Zimbabwe,Q581954,1952,done
University of Zululand,Q2496192,1959,done
University of al-Qarawiyyin,Q378014,859,done
University of the Free State,Q1678733,1904,done
University of the Gambia,Q597030,1999,done
University of the Holy Quran and Islamic Sciences,Q7896706,1990,done
University of the Sacred Heart Gulu,Q48741701,2016,done
University of the Western Cape,Q475700,1959,done
University of the Witwatersrand,Q534643,1896,done
Université Abdou Moumouni,Q308329,1971,done
Université Adam Barka d'Abéché,Q3551366,2003,done
Université Adventiste de Goma,Q3551509,NA,done
Université Africaine de Développement Coopératif,Q100955838,1967,done
Université Africaine de Technologie et de Management,Q25377774,1997,done
Université Alassane Ouattara,Q3551369,1992,done
Université Alioune Diop de Bambey,Q3551371,2007,done
Université Amadou Hampaté Ba,Q3551372,2006,done
Université Amadou Mahtar Mbow,Q105475483,2012,done
Université André Salifou,Q3551691,2010,done
Université Arabe des Sciences,Q30294267,1993,done
Université Aube Nouvelle,Q100452197,1992,done
Université Cardinal Malula,Q3551523,1984,done
Université Catholique de Bukavu,Q1667045,1989,done
Université Catholique de l'Afrique de l'Ouest - Unité Universitaire de Bobo Dioulasso,Q100452187,2000,done
Université Catholique du Congo,Q3551525,1957,done
Université Centrale de Tunis,Q3551531,2001,done
Université Constantine 2,Q19600070,2011,done
Université Dakar-Bourguiba,Q3551395,1995,done
Université Djibo Hamani,Q3551676,2010,done
Université Djilali Bounaama Khemis Miliana,Q30294234,2001,done
Université Djilali de Sidi Bel Abbès,NA,NA,done
Université Euro-Afrique,Q30266542,2009,done
Université Evangélique en Afrique,Q3551863,1991,done
Université Félix Houphouët-Boigny,Q1583390,1959,done
Université Gaston Berger,Q3551411,1990,done
Université Général Lansana Conté,Q3551412,2005,done
Université Hassan 1er,Q2405067,1997,done
Université Hassan II Mohammedia,Q3551413,1984,done
Université IBN Khaldoun Tiaret,Q30294268,1980,done
Université Ibn Khaldoun,Q30294268,1980,done
Université Ibn Zohr,Q3551418,1989,done
Université Ibn-Tofail,Q3551417,1989,done
Université Internationale de Casablanca,Q16682080,2010,done
Université Internationale de Tunis,Q3551783,2002,done
Université Jean Lorougnon Guédé,Q18413711,1996,done
Université Joseph Ki-Zerbo,Q1076606,1974,done
Université Kofi Annan de Guinée,Q3551423,1999,done
Université Larbi Tébessi,Q30294266,2009,done
Université Libre de Kinshasa,Q3551791,1988,done
Université Libre de Luozi,Q3551792,1997,done
Université Libre du Burkina,Q100452190,2002,done
Université Libre du Congo,Q21531083,1963,done
Université Mohammed VI Polytechnique,Q61931430,2017,done
Université Mohammed VI des Sciences et de la Santé,NA,NA,done
Université Montplaisir Tunis,Q30294292,1993,done
Université Moulay Ismail de Meknes,Q3551453,1989,done
Université Mustapha Stambouli de Mascara,Q30294244,1986,done
Université Méditerranéenne Libre de Tunis,Q30294258,2004,done
Université Nangui Abrogoua,Q3551460,1996,done
Université Nationale d'Agriculture,Q30266928,2012,done
Université Nouveaux Horizons,NA,NA,done
Université Officielle de Bukavu,Q3551813,2010,done
Université Officielle de Ruwenzori,Q100989286,NA,done
Université Oran 1 Ahmed Ben Bella,NA,NA,done
Université Ouaga II,Q3551467,2007,done
Université Pelefero Gon Coulibaly,Q97041892,2012,done
Université Polytechnique Intégrée,Q100523631,2017,done
Université Polytechnique de Gitega,Q100523654,2014,done
Université Privée d'Enseignement Supérieur El Amel,Q30294253,NA,done
Université Privée de Fès,Q16511695,2006,done
Université Privée de Ouagadougou,Q100452196,2010,done
Université Privée du Sud,Q30294262,1993,done
Université Professionnelle d'Afrique,Q3551833,2002,done
Université Protestante au Congo,Q3551836,1959,done
Université Protestante d'Afrique Centrale,Q30294354,1962,done
Université Protestante d'Afrique de l'Ouest,Q30294309,2003,done
Université Protestante de Lubumbashi,Q3551479,2002,done
Université Président Joseph Kasa-Vubu,NA,NA,done
Université Pédagogique Nationale,Q3551480,1961,done
Université Shalom de Bunia,Q30266544,1961,done
Université Simon Kimbangu,Q3551670,1994,done
Université Sultan Moulay Slimane,Q3551494,2007,done
Université Tertiaire et Technologique-Lokko,Q97041891,2007,done
Université Tunis Carthage,NA,NA,done
Université Virtuelle de Côte d'Ivoire,Q28381317,2015,done
Université William Booth,Q21083970,1996,done
Université d'Abomey-Calavi,Q6979225,1970,done
Université d'Agriculture de Kétou,Q30266928,2012,done
Université d'Oran 2,Q30267130,1961,done
Université de Bertoua,Q124835913,2022,done
Université de Bondoukou,Q122811289,2023,done
Université de Cepromad,NA,NA,done
Université de Denis Sassou N'guesso,NA,NA,done
Université de Diffa,Q21634352,2014,done
Université de Dschang,Q3551583,1993,done
Université de Dédougou,Q79396645,2011,done
Université de Fianarantsoa,Q20669871,1992,done
Université de Garoua,Q115681308,2022,done
Université de Kisangani,Q780301,1963,done
Université de Mahajanga,Q3551622,1983,done
Université de Maradi,Q3551623,2008,done
Université de Mostaganem,Q3551640,1969,done
Université de Moundou,Q3551638,2002,done
Université de Notre-Dame du Kasai,Q3551656,2010,done
Université de Nouakchott,Q55402201,2016,done
Université de Parakou,Q3551659,2001,done
Université de Saida Dr.Moulay Tahar,NA,NA,done
Université de Sarh,Q3551669,2010,done
Université de Thiès,Q3551680,2007,done
Université de Yaoundé I,Q3551692,1993,done
Université de ain Témouchent,NA,NA,done
Université de l'Assomption au Congo,Q97955848,1982,done
Université de l'Uélé,Q1690564,1998,done
Université de la Formation Continue (UFC),NA,NA,done
Université des Grands Lacs,Q30294313,2000,done
Université des Lettres et des Sciences Humaines de Bamako,Q3551732,2011,done
Université des Montagnes,Q3551728,2000,done
Université des Sciences Juridiques et Politiques de Bamako,Q3551742,2011,done
Université des Sciences de la Santé,Q61932853,2002,done
Université des Sciences et Techniques de Masuku,Q3551737,1986,done
Université des Sciences et de Technologie d'Ati,Q3551736,2008,done
Université des Sciences et de la Technologie d'Oran Mohamed Boudiaf,NA,NA,done
"Université des Sciences, de Technologie et de Médecine",Q30260802,1981,done
"Université des Sciences, des Techniques et des Technologies de Bamako",Q3551733,2011,done
Université du Burundi,Q719925,1964,done
Université du Faso,Q100452185,2015,done
Université du Lac Tanganyika,Q3551752,1999,done
Université du Sahel,Q3551765,1998,done
Université du Sine Saloum El-Hâdj Ibrahima NIASS,NA,NA,done
Université d’Antsiranana,Q3551462,1976,done
Université d’Ébolowa,Q114388486,2022,done
Université libre des Pays des Grands Lacs,Q3551796,1991,done
Upper Nile University,Q2915589,1991,done
Usmanu Danfodiyo University,Q7902729,1975,done
Uzima University College,Q30266548,NA,done
Vaal University of Technology,Q2399345,1966,done
Valley View University,Q2509370,1979,done
Venite University,Q138302440,2022,done
Veritas University,Q7921393,2002,done
Victoria University,Q180514,1916,done
Virtual University of Tunis,Q3551862,2002,done
Virtual University of Uganda,Q104480456,2010,done
Wad Medani Ahlia University,Q7958917,1992,done
Wadi Alshatti University,Q133811534,2022,done
Walter Sisulu University,Q248919,2005,done
"Water Institute, Tanzania",Q136663858,1974,done
Webster University Ghana,Q16733317,2013,done
Wellspring University,Q23058508,2009,done
Wesley University,Q7984021,2007,done
West Africa Vocational Education,Q61934161,2013,done
West African College of Physicians,Q30263973,1976,done
West Kordofan University,Q7896602,1990,done
West Midlands Open University,Q129285335,2023,done
Western Delta University,Q7987775,2007,done
Wigwe University,Q133499828,2023,done
William V. S. Tubman University,Q1528161,1978,done
Wisconsin International University College,Q126463,2000,done
Wolaita Sodo University,Q42272504,2007,done
Woldia University,Q75022460,2011,done
Wolkite University,Q30266555,2011,done
Wollega University,Q8030333,2007,done
Wollo University,Q30263976,2007,done
Women's University in Africa,Q8031096,2002,done
Yaba College of Technology,Q8046341,1947,done
Yanet Health College,Q108737169,2000,done
Yobe State University,Q4986806,2006,done
Youcef El Khatib University of Health Sciences,Q138859818,2024,done
Zagazig University,Q1078474,1974,done
Zambia Catholic University,Q8065671,2008,done
Zambia Centre for Accountancy Studies,Q30294320,NA,done
Zambia Forestry College,Q145501,1949,done
Zambian Open University,Q8065704,2002,done
Zanzibar School of Health,Q61932022,2011,done
Zanzibar University,Q8066311,2002,done
Zenith University College,Q8069126,2001,done
Zetech University,Q101110419,2014,done
Zewail City of Science and Technology,Q21062258,2012,done
Ziane Achour University of Djelfa,Q12204494,1990,done
Ziguinchor University,Q3551694,2007,done
Zimbabwe Ezekiel Guti University,Q20981320,2012,done
Zimbabwe Ezekiel Guti University Press,Q135739926,2012,done
Zimbabwe National Defence University,Q131877682,2021,done
Zimbabwe Open University,Q8072005,1999,done
Zimbabwe University Libraries Consortium,Q117447595,2001,done
Zintan University,Q102347732,2017,done
École Africaine de la Météorologie et de l'Aviation Civile,Q3577712,1963,done
École Africaine des Métiers de l'Architecture et de l'Urbanisme,Q3577713,1976,done
École Inter-États des Sciences et Médecine Vétérinaires de Dakar,Q3578018,1968,done
École Marocaine de Banque et de Commerce International,Q30294380,NA,done
École Marocaine des Sciences de l'Ingénieur,Q3578037,1986,done
École Nationale Polytechnique d'Oran,Q3578283,1970,done
École Nationale Supérieure Agronomique,Q3578169,1842,done
École Nationale Supérieure Maritime,Q3578264,1571,done
École Nationale Supérieure Polytechnique de Yaoundé,Q3578265,1971,done
École Nationale Supérieure d'Agriculture,Q3578173,1871,done
École Nationale Supérieure d'Hydraulique,Q30261759,1972,done
École Nationale Supérieure d'Informatique,Q3578200,NA,done
École Nationale Supérieure de Journalisme et des Sciences de l’Information,Q130533312,NA,done
École Nationale Supérieure de Statistique et d'Économie Appliquée,Q3578236,1982,done
École Nationale Supérieure de Technologie,Q30294181,NA,done
École Nationale Supérieure de l'Administration,Q30294393,2015,done
École Nationale d'Administration,Q273579,1945,done
École Nationale d'Administration de Madagascar,Q30294281,NA,done
École Nationale d'Administration et de Magistrature,Q25396762,1959,done
École Nationale d'Agriculture de Meknès,Q3578072,1942,done
École Nationale d'Ingénieurs de Gabès,Q3578091,1975,done
École Nationale de Commerce et de Gestion de Tanger,Q3578118,1995,done
École Nationale de Management et de l'Administration de la Santé,Q108793462,1989,done
École Normale Supérieure,Q83259,1794,done
École Normale Supérieure - Marrakech,Q30294334,1979,done
École Normale Supérieure Casablanca,Q30294340,NA,done
École Normale Supérieure d'Abidjan,Q3578282,1964,done
École Normale Supérieure de Bou Saada,Q135095589,2015,done
École Normale Supérieure de Bouzareah Alger,Q30294190,NA,done
École Normale Supérieure de Constantine,Q30294221,1981,done
École Normale Supérieure de Fès,Q138460594,1987,done
École Normale Supérieure de Kouba,Q30294239,NA,done
École Normale Supérieure de Mostaganem,Q138859585,2014,done
École Normale Supérieure de Nouakchott,Q3578286,NA,done
École Normale Supérieure de Saida,Q139771324,2023,done
École Normale Supérieure de Sétif,Q137795907,2015,done
École Normale Supérieure de Tétouan,Q30294187,NA,done
École Normale Supérieure de l'Enseignement Technique de Mohammedia,Q30294357,NA,done
École Normale d'Administration,Q100523642,2007,done
École Polytechnique d'Architecture et d'Urbanisme,Q27962871,1970,done
École Polytechnique de Thiès,Q3577690,1973,done
École Polyvalente Supérieure d'Informatique et d'Électronique,Q30294397,1989,done
École Royale Navale,Q30294360,NA,done
École Royale de l'Air de Marrakech,Q3578342,1970,done
École Régionale Supérieure de la Magistrature (ERSUMA) de l’OHADA,Q137943579,1998,done
École Supérieure Algérienne des Affaires,Q3578371,2004,done
École Supérieure Internationale de Gestion,Q30294377,1985,done
École Supérieure Multinationale des Télécommunications,Q5333198,1981,done
École Supérieure Polytechnique d'Antsiranana,Q100956312,1976,done
École Supérieure Privée d'Ingénierie et de Technologies,Q20751518,2003,done
École Supérieure Vinci,Q30294405,NA,done
École Supérieure d'Architecture d'Intérieur,Q30294398,NA,done
École Supérieure d'Informatique Appliquée,Q30294364,NA,done
École Supérieure d'Informatique Appliquée à la Gestion,NA,NA,done
École Supérieure d'Informatique et de Management des Affaires,Q30294392,NA,done
École Supérieure de Banque,Q30294195,NA,done
École Supérieure de Commerce,Q30294196,NA,done
École Supérieure de Communication et de Publicité,Q30294368,NA,done
École Supérieure de Design et des Arts Visuels,Q30294370,NA,done
École Supérieure de Gestion,Q3578447,1985,done
École Supérieure de Gestion et des Sciences de l'Informatique,Q30294400,NA,done
École Supérieure de Génie Civil Véréchaguine AK,Q100552857,1998,done
École Supérieure de Management,Q30294373,NA,done
École Supérieure de Management Appliqué,Q30294342,NA,done
École Supérieure de Psychologie,Q30294374,NA,done
École Supérieure de la Magistrature,Q29513720,1989,done
École Supérieure de la Sécurité Sociale,Q135975682,2012,done
École Supérieure des Industries du Textile et de l'Habillement,Q21029695,1996,done
École Supérieure des Ingénieurs de l'Équipement Rural,Q30261803,1964,done
"École Supérieure des Multimédia, Informatique & Réseaux",NA,NA,done
École Supérieure des Sciences de l'Ingénierie Commerciale,Q30294348,1990,done
École Supérieure des Télécommunications,Q30294402,NA,done
École Supérieure des Études Administratives et Commerciales,Q30294273,2003,done
École Supérieure en Informatique de Sidi Bel Abbes,Q20971033,NA,done
École Supérieure en Sciences Appliquées de Tlemcen,Q47517336,NA,done
École d'Architecture de Casablanca,Q30294362,2004,done
"École d'Informatique, d'Électronique et d'Expertise Comptable",Q273531,1972,done
École de Formation aux Carrières de Santé,Q100955856,2003,done
École de Gouvernance et d'Économie de Rabat,Q3577863,2008,done
École des Cadres,Q3577929,1950,done
École des Hautes Études Commerciales,Q273535,1881,done
École des Hautes Études Commerciales Techniques et Informatiques,Q30294177,2000,done
École des Hautes Études de Biotechnologie et de Santé,Q30294328,NA,done
École des Hautes Études en Ingénierie des Systèmes d'Information,Q30294329,NA,done
École des Hautes Études Économiques et Commerciales,Q30294333,NA,done
École des Sciences de I'information,NA,NA,done
École supérieure polytechnique d'Antananarivo,Q125685019,NA,done
Établissement Dar El Hadith El Hassania,NA,NA,done
